text,label,label_name
Track star tests positive and stripped of three medals from past games.,1,Sports
Presidential candidate unveils healthcare reform platform ahead of primary.,0,Politics
President announces withdrawal of troops from overseas military base.,0,Politics
Electric vehicle battery with 500-mile range enters mass production phase.,3,Technology
Insurance company raises premiums citing increased frequency of weather events.,2,Business
Warren Buffett increases stake in energy companies amid market volatility.,2,Business
Marathon runner sets new course record in wet and windy conditions.,1,Sports
Drone delivery service receives approval to operate in urban airspace.,3,Technology
Space telescope captures deepest infrared image of early universe ever taken.,3,Technology
Parliament debates proposed changes to constitution amid protests.,0,Politics
Golf major championship comes down to thrilling playoff on final hole.,1,Sports
Exoplanet atmosphere reveals presence of water vapor and carbon dioxide.,3,Technology
Satellite internet service achieves gigabit speeds for remote rural areas.,3,Technology
Young tennis prodigy wins first grand slam at just seventeen years old.,1,Sports
Wireless charging standard reaches 100 watt power delivery milestone.,3,Technology
Internet infrastructure under strain as traffic reaches new global record.,3,Technology
Football superstar signs record-breaking contract worth 250 million dollars.,1,Sports
New quantum computing breakthrough achieves 1000 qubit entanglement milestone.,3,Technology
World chess champion defends title in tense tiebreak game.,1,Sports
Soccer club announces signing of teenage sensation from South American league.,1,Sports
Semiconductor shortage eases as new chip fabrication plants come online.,2,Business
UN peacekeeping mission extended for another year in troubled African nation.,0,Politics
Luxury automaker faces recall of 200000 vehicles over safety defect.,2,Business
Veteran player makes emotional return after year-long injury absence.,1,Sports
Formula 1 champion secures fourth consecutive world drivers title.,1,Sports
New stadium construction approved for NFL franchise relocation to new city.,1,Sports
New transfer record set as striker joins rival club for huge fee.,1,Sports
Basketball player traded to contending team just before deadline.,1,Sports
Credit card delinquency rates rise to highest level since financial crisis.,2,Business
Trade deficit narrows as exports surge and imports fall sharply.,2,Business
Peace talks between two rival nations resume after months of failed negotiations.,0,Politics
Governor declares state of emergency after devastating natural disaster hits coast.,0,Politics
Olympic committee announces new sports added to 2028 Los Angeles games.,1,Sports
Star quarterback announces retirement after 15 season career in NFL.,1,Sports
OpenAI releases GPT-5 with unprecedented reasoning capabilities and benchmark scores.,3,Technology
Tesla faces production challenges as supply chain disruptions continue.,2,Business
Automaker announces 5 billion dollar investment in electric vehicle production.,2,Business
Bank stress test results show major institutions remain well capitalized.,2,Business
Researchers create artificial protein that fights antibiotic-resistant bacteria.,3,Technology
Ice hockey team wins Stanley Cup in epic seven-game final series.,1,Sports
Cricket team wins test series in dominant performance on foreign soil.,1,Sports
Scientists demonstrate quantum teleportation over 100 kilometer fiber link.,3,Technology
International sanctions imposed on regime after disputed election results.,0,Politics
Diplomatic tensions rise as ambassadors are recalled from respective capitals.,0,Politics
Walmart beats earnings estimates as budget-conscious shoppers increase visits.,2,Business
Space agency announces mission to retrieve sample from asteroid belt object.,3,Technology
Parliament approves controversial anti-terrorism legislation after long debate.,0,Politics
International court issues ruling on territorial dispute between two nations.,0,Politics
Small business optimism index falls amid concerns about future conditions.,2,Business
Decathlon world champion breaks four individual world records.,1,Sports
New York Stock Exchange introduces trading curbs to limit volatility.,2,Business
Researchers develop algorithm that predicts protein folding with high accuracy.,3,Technology
Senate committee approves new sanctions against rogue states over human rights violations.,0,Politics
Luxury goods maker reports record sales as wealthy consumers keep spending.,2,Business
Startup unicorn raises 500 million dollar funding round at 10 billion valuation.,2,Business
Soccer referee suspended after controversial decisions in cup final.,1,Sports
Housing starts fall as builders face high costs and low buyer demand.,2,Business
Sports media rights deal worth billions reshapes broadcast landscape.,1,Sports
Smart contact lens that monitors glucose levels approved for commercial use.,3,Technology
Goalkeeper breaks clean sheet record in longest shutout streak in history.,1,Sports
AI model outperforms human doctors at diagnosing rare genetic conditions.,3,Technology
Women's soccer league attendance reaches all-time high this season.,1,Sports
Coalition government collapses as junior partner withdraws support.,0,Politics
G7 leaders agree on global minimum corporate tax rate framework.,0,Politics
Governor signs criminal justice reform bill into law.,0,Politics
Elon Musk sells Tesla shares worth 4 billion dollars in single transaction.,2,Business
Former president indicted on corruption charges by special prosecutor.,0,Politics
New encryption standard adopted by government agencies to resist quantum attacks.,3,Technology
Paralympic champion inspires next generation with record-breaking performance.,1,Sports
Grocery prices stabilize after two years of above-average food inflation.,2,Business
LeBron James scores 40 points to lead Lakers past Golden State Warriors.,1,Sports
Venture capital funding drops 40 percent compared to previous year.,2,Business
Fusion energy reactor sustains plasma for record 17 seconds at high temperature.,3,Technology
Bilateral trade agreement signed after three years of negotiations.,0,Politics
Manufacturing index contracts for third consecutive month signaling slowdown.,2,Business
Goldman Sachs lays off thousands of employees amid revenue decline.,2,Business
Secretary of state embarks on multi-nation tour to strengthen alliances.,0,Politics
Private equity firm acquires struggling retail chain for 2 billion dollars.,2,Business
Apple reports record quarterly profits driven by strong iPhone 15 sales.,2,Business
Merger deal between two pharmaceutical giants valued at 80 billion dollars.,2,Business
Congress passes bipartisan infrastructure bill worth 1.2 trillion dollars amid heated debate.,0,Politics
Athletics federation bans country from international competition.,1,Sports
Security forces crack down on demonstrators in capital city.,0,Politics
Scientists grow functional mini-organs from stem cells for drug testing.,3,Technology
Autonomous weapons treaty negotiations stall as major powers disagree.,3,Technology
NBA franchise granted expansion rights in new market city.,1,Sports
New solar panel efficiency record achieved by university research team.,3,Technology
Refugee crisis prompts emergency meeting of European interior ministers.,0,Politics
Satellite data reveals accelerating ice loss in Antarctica at record rate.,3,Technology
Boxing champion retains title after controversial split decision victory.,1,Sports
President meets with top generals to review national defense strategy.,0,Politics
Consumer confidence index drops to lowest level in six months.,2,Business
Federal Reserve raises interest rates by 25 basis points to combat inflation.,2,Business
New foreign policy doctrine shifts focus from military to diplomacy.,0,Politics
State department issues travel advisory for citizens amid escalating civil unrest.,0,Politics
New data center design cuts energy consumption by 40 percent using liquid cooling.,3,Technology
Cybersecurity firm discovers major zero-day vulnerability in popular software.,3,Technology
White House announces diplomatic mission to ease relations with neighboring country.,0,Politics
Whistleblower reveals classified documents related to intelligence operations.,0,Politics
US inflation falls for sixth straight month as Fed policy takes effect.,2,Business
Opposition party calls for snap elections after prime minister faces corruption allegations.,0,Politics
UN report warns of humanitarian crisis in conflict-affected region.,0,Politics
Airline profits soar as travel demand remains robust despite higher fares.,2,Business
Unemployment rate holds steady as labor market shows continued resilience.,2,Business
Cryptocurrency market cap falls below one trillion dollars as prices crash.,2,Business
Energy company reports record profits driven by elevated commodity prices.,2,Business
Defense secretary briefs lawmakers on military deployments in contested region.,0,Politics
Swimming world record broken at international championship in Budapest.,1,Sports
Chinese exports fall sharply as global demand weakens across sectors.,2,Business
Tech layoffs continue as companies cut costs and restructure operations.,2,Business
Tech giant fined 1.2 billion dollars for antitrust violations in Europe.,3,Technology
The United Nations Security Council held an emergency session on rising tensions in the Middle East region.,0,Politics
Digital twin technology reduces aircraft maintenance costs by 30 percent.,3,Technology
SpaceX successfully launches 60 Starlink satellites into low earth orbit.,3,Technology
Rugby world cup hosts defeat defending champions in opening match.,1,Sports
Real estate market cools as mortgage rates hit decade-long high.,2,Business
Tennis star banned from competition after positive doping test result.,1,Sports
Rebel forces capture key city as government troops retreat.,0,Politics
Autonomous vehicle company expands robotaxi service to three new cities.,3,Technology
Census data reshapes electoral map ahead of upcoming midterm elections.,0,Politics
Ministry of finance announces austerity measures to stabilize economy.,0,Politics
Major airline announces bankruptcy protection amid mounting debt burden.,2,Business
CRISPR gene editing trial shows promising results for sickle cell disease.,3,Technology
Meta unveils new virtual reality headset with improved resolution and battery.,3,Technology
Budget committee debates spending cuts to reduce national debt level.,0,Politics
New electoral reform law passes amid protests from opposition groups.,0,Politics
Researchers use AI to discover three new antibiotic compounds from soil.,3,Technology
Currency intervention fails to stop decline of emerging market currencies.,2,Business
Coach of the year award goes to surprise candidate from small market team.,1,Sports
President nominates new supreme court justice to fill vacant seat.,0,Politics
Scientists sequence genome of previously unknown deep-sea creature species.,3,Technology
Prime minister pledges to tackle housing crisis with new legislation.,0,Politics
Basketball league expands to two new international cities next season.,1,Sports
Scientists develop biodegradable plastic substitute from seaweed extract.,3,Technology
Health minister resigns amid scandal over pandemic contract awards.,0,Politics
Supply chain resilience improves as companies diversify sourcing strategies.,2,Business
Foreign ministers meet in Brussels to discuss NATO expansion and security cooperation.,0,Politics
Oil prices surge amid geopolitical tensions in major producing regions.,2,Business
Serena Williams wins her 24th Grand Slam title at Wimbledon tournament.,1,Sports
Commercial real estate faces crisis as office vacancy rates hit new highs.,2,Business
Social media algorithm audit reveals hidden bias in content recommendations.,3,Technology
Scientists develop vaccine platform that can be rapidly adapted for new viruses.,3,Technology
Microplastics found in human brain tissue for first time in autopsy study.,3,Technology
Government minister faces calls to resign over leaked private messages.,0,Politics
Sports governing body launches investigation into match-fixing allegations.,1,Sports
Local elections signal shift in voter sentiment ahead of national polls.,0,Politics
Government unveils sweeping immigration reform plan affecting millions of residents.,0,Politics
Retail sales data shows stronger than expected consumer spending growth.,2,Business
Sports committee recommends stricter regulations on youth training programs.,1,Sports
Cycling team disqualified from race after banned substance found.,1,Sports
Robotics company unveils humanoid robot capable of complex manufacturing tasks.,3,Technology
New programming language claims to eliminate entire class of security bugs.,3,Technology
Football manager signs five year contract extension after title win.,1,Sports
European parliament votes on new data privacy regulation affecting tech companies.,0,Politics
National security council warns of growing cyber threats from foreign actors.,0,Politics
National team coach resigns after shock defeat in World Cup qualifier.,1,Sports
Climate model predicts higher global temperature rise than previous estimates.,3,Technology
Retail giant closes 150 stores as online shopping continues to grow.,2,Business
Trade war threatens to escalate as tariffs are imposed on imported goods.,0,Politics
Olympic sprinter wins 100 meter final in world record time.,1,Sports
New material converts heat directly into electricity with record efficiency.,3,Technology
Central bank governor signals possible end to rate hiking cycle.,2,Business
New chip architecture delivers 10x performance improvement at lower power.,3,Technology
Wearable device predicts seizures up to 30 minutes before they occur.,3,Technology
College basketball tournament upsets shock fans as top seeds eliminated.,1,Sports
New York Yankees clinch American League pennant with dramatic comeback win.,1,Sports
Google parent Alphabet posts disappointing quarterly advertising revenue.,2,Business
Manchester United defeats Real Madrid in thrilling Champions League semifinal.,1,Sports
Tech company releases open-source large language model to research community.,3,Technology
Tour de France leader crashes out of race on treacherous mountain stage.,1,Sports
International observers criticize election process as flawed and unfair.,0,Politics
Season ticket sales break records as team announces new arena plans.,1,Sports
Foreign aid package approved to support rebuilding efforts in war-torn country.,0,Politics
NBA draft sees record number of international players selected in first round.,1,Sports
Brain-computer interface enables paralyzed patient to control robotic arm.,3,Technology
AI system generates novel drug candidate that passes initial safety tests.,3,Technology
Bond yields invert as investors seek safety amid economic uncertainty.,2,Business
Congress holds hearing on foreign interference in democratic elections.,0,Politics
Researchers demonstrate room-temperature superconductor material breakthrough.,3,Technology
Researchers train model that translates brain signals into speech.,3,Technology
President signs new climate agreement with world leaders at international summit in Geneva.,0,Politics
Tiger Woods announces comeback after recovering from back surgery.,1,Sports
Earnings season kicks off with mixed results across major sectors.,2,Business
Pharmaceutical company wins approval for breakthrough cancer treatment drug.,2,Business
NASA scientists confirm discovery of water ice in permanently shadowed lunar crater.,3,Technology
Stock market closes at all-time high as tech sector leads gains.,2,Business
Young golfer becomes youngest player to win Masters tournament title.,1,Sports
IMF revises global growth forecast downward citing multiple risk factors.,2,Business
Sports arbitration tribunal rules in favor of suspended athlete.,1,Sports
League introduces new rules to improve game flow and reduce stoppages.,1,Sports
European central bank holds rates steady amid slowing economic growth.,2,Business
New battery chemistry eliminates fire risk while doubling energy density.,3,Technology
Lawmakers debate controversial surveillance bill in closed-door session.,0,Politics
Deepfake detection tool achieves 97 percent accuracy in independent test.,3,Technology
Baseball player hits 60th home run of season chasing all-time record.,1,Sports
Bank of America warns of potential recession risk in next 12 months.,2,Business
Prime minister survives no-confidence vote in tense parliamentary session.,0,Politics
Home side wins hosting rights for next edition of continental championship.,1,Sports
5G network expansion reaches rural communities previously without broadband.,3,Technology
Amazon announces plans to hire 50000 workers for holiday shopping season.,2,Business
